epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0386,2.23501,4.64025,2.34383,0.01412,0.34846,0.03099,0.00759,2.30371,3.75061,2.42611,0.000181836,0.000181836,0.000181836
2,34.3176,2.03959,4.20097,2.12843,0.5468,0.04054,0.0562,0.01865,2.12865,3.40607,2.38558,0.0003599,0.0003599,0.0003599
3,50.1596,2.01154,3.96003,2.12284,0.35244,0.13366,0.07083,0.02314,2.20509,3.52174,2.46651,0.000530624,0.000530624,0.000530624
4,65.8438,1.99506,3.76505,2.11454,0.44,0.22104,0.11656,0.03328,2.23588,3.7113,2.50242,0.000522974,0.000522974,0.000522974
5,81.2184,2.01077,3.69899,2.1251,0.31165,0.13894,0.12849,0.03855,2.20902,3.73995,2.53239,0.000511965,0.000511965,0.000511965
6,96.3483,2.01313,3.59175,2.09171,0.46928,0.10951,0.06752,0.01893,2.23775,3.85411,2.61996,0.000500956,0.000500956,0.000500956
7,111.298,2.00817,3.50916,2.05475,0.29981,0.17945,0.14853,0.04895,2.28766,3.2391,2.60613,0.000489947,0.000489947,0.000489947
8,126.67,1.97706,3.41493,2.03703,0.52698,0.19783,0.19491,0.06778,2.10442,2.98802,2.3134,0.000478938,0.000478938,0.000478938
9,142.316,1.93725,3.29746,2.04417,0.45715,0.18953,0.17312,0.05439,2.08686,3.0115,2.35854,0.00046793,0.00046793,0.00046793
10,157.403,1.93515,3.3016,2.06319,0.40777,0.23796,0.20218,0.06848,2.0873,3.00585,2.27073,0.000456921,0.000456921,0.000456921
11,172.344,1.93942,3.22896,2.03239,0.54636,0.21081,0.20207,0.06338,2.16447,3.05411,2.44443,0.000445912,0.000445912,0.000445912
12,187.336,1.91386,3.12885,2.00838,0.36386,0.20259,0.19282,0.06502,2.21942,3.15369,2.3556,0.000434903,0.000434903,0.000434903
13,202.498,1.92247,3.08309,1.99882,0.4072,0.31866,0.27323,0.09296,2.10107,2.77317,2.30651,0.000423894,0.000423894,0.000423894
14,218.265,1.91962,3.02915,2.00091,0.30722,0.25014,0.26471,0.08533,2.08911,2.76332,2.29554,0.000412886,0.000412886,0.000412886
15,233.619,1.88818,2.98457,1.98089,0.40616,0.29911,0.25373,0.08339,2.18323,2.73317,2.34027,0.000401877,0.000401877,0.000401877
16,248.62,1.88556,2.92065,1.97733,0.31864,0.31268,0.26916,0.089,2.14146,2.6873,2.31288,0.000390868,0.000390868,0.000390868
17,263.872,1.88781,2.94987,1.95712,0.39317,0.30093,0.27027,0.08509,2.16022,2.76637,2.28144,0.000379859,0.000379859,0.000379859
18,278.896,1.86499,2.85886,1.9515,0.30884,0.30656,0.26237,0.082,2.11106,2.90097,2.37138,0.00036885,0.00036885,0.00036885
19,294.356,1.82814,2.77326,1.92499,0.41717,0.28276,0.28762,0.09681,2.15066,2.69657,2.29145,0.000357842,0.000357842,0.000357842
20,310.265,1.86215,2.79794,1.94653,0.34768,0.344,0.31708,0.10498,2.12396,2.66721,2.30997,0.000346833,0.000346833,0.000346833
21,325.203,1.83228,2.73247,1.91972,0.62031,0.16646,0.21908,0.07251,2.11082,3.05185,2.33863,0.000335824,0.000335824,0.000335824
22,340.343,1.83782,2.68891,1.94777,0.36218,0.27725,0.24973,0.08072,2.18946,2.75236,2.32509,0.000324815,0.000324815,0.000324815
23,355.254,1.8308,2.69292,1.93827,0.32863,0.31175,0.31473,0.11247,2.10124,2.68912,2.33974,0.000313806,0.000313806,0.000313806
24,370.4,1.81872,2.65861,1.90648,0.52688,0.30018,0.32221,0.11143,2.18481,2.62905,2.29846,0.000302798,0.000302798,0.000302798
25,385.683,1.80248,2.59716,1.90833,0.41009,0.33127,0.34633,0.11751,2.15443,2.57534,2.32383,0.000291789,0.000291789,0.000291789
26,401.345,1.76918,2.57524,1.87624,0.43874,0.33814,0.32709,0.11314,2.17042,2.59488,2.29854,0.00028078,0.00028078,0.00028078
27,416.432,1.80694,2.53551,1.90262,0.44752,0.32586,0.33263,0.10875,2.20202,2.6373,2.38687,0.000269771,0.000269771,0.000269771
28,431.438,1.795,2.52567,1.88874,0.46388,0.35654,0.35398,0.12143,2.20195,2.53136,2.3703,0.000258762,0.000258762,0.000258762
29,446.596,1.76177,2.4889,1.88318,0.31504,0.36451,0.29232,0.09931,2.19269,2.58073,2.36279,0.000247754,0.000247754,0.000247754
30,461.443,1.73755,2.45436,1.86057,0.34654,0.35883,0.3451,0.11795,2.18864,2.55835,2.37536,0.000236745,0.000236745,0.000236745
31,477.155,1.75418,2.41514,1.85154,0.29982,0.33273,0.31656,0.11343,2.17868,2.55441,2.38344,0.000225736,0.000225736,0.000225736
32,492.236,1.72477,2.37326,1.84739,0.42393,0.3635,0.34239,0.12017,2.24253,2.50634,2.32851,0.000214727,0.000214727,0.000214727
33,507.411,1.71114,2.35136,1.81944,0.3412,0.33971,0.32688,0.11048,2.18184,2.59587,2.40641,0.000203718,0.000203718,0.000203718
